"Marca temporal","Antes de la pandemia, ¿con qué frecuencia usaba el aula virtual?.","¿Conoce usted todas las herramientas que le ofrece el aula virtual?","¿Considera usted que durante la presencialidad remota el aula virtual ha mejorado mucho?","¿Considera usted que los profesores mantienen actualizando el contenido de los cursos?","¿Conoce alguna alternativa mejor que Moodle?","En caso de conocer alguna, ¿Cuál es?","¿Qué tan intuitiva cree usted que es la página de Moodle?","Del 1 al 5 responda las siguientes preguntas, siendo 1 muy malo o muy poco frecuente y 5 muy bueno o muy frecuente [¿Qué tan buena herramienta le parece para el desarrollo de las actividades del curso?]","Del 1 al 5 responda las siguientes preguntas, siendo 1 muy malo o muy poco frecuente y 5 muy bueno o muy frecuente [¿Qué le parece la organización y navegación de los cursos matriculados en la plataforma?]","Del 1 al 5 responda las siguientes preguntas, siendo 1 muy malo o muy poco frecuente y 5 muy bueno o muy frecuente [¿Con que frecuencia presenta pruebas dentro del aula virtual?]","Del 1 al 5 responda las siguientes preguntas, siendo 1 muy malo o muy poco frecuente y 5 muy bueno o muy frecuente [¿Con que frecuencia presenta actividades en moodle?]","Del 1 al 5 responda las siguientes preguntas, siendo 1 muy malo o muy poco frecuente y 5 muy bueno o muy frecuente [¿Con que frecuencia su profesor se comunica con usted por medio de Moodle?]","Del 1 al 5 responda las siguientes preguntas, siendo 1 muy malo o muy poco frecuente y 5 muy bueno o muy frecuente [¿Con qué frecuencia suele usted comunicarse con sus docentes por medio del Moodle?]","¿Considera usted que sus profesores están bien capacitados para el manejo del aula virtual?.","¿Qué tan buen manejo cree usted que le están dando los profesores a la plataforma?","¿Qué uso le da usted a la aulas virtuales?","En las aulas virtuales que usted ha utilizado, encuentra (aparte de las actividades del ítem anterior):","¿En qué área cree usted que le ha sido más útil el aula virtual?","En cuanto a las pruebas:¿Cuál es el tipo de pregunta que más predomina?"
"2021/08/19 10:56:41 a. m. GMT-5","Mucha frecuencia.","Si","Sí","Sí","No","","Muy buena","5","5","5","5","5","5","Si","Muy bueno","Todas las anteriores.","Material audiovisual relacionado con el área especializada de la materia.;Material que te hable de los aportes de la materia en tu formación profesional.","Materias de ciencias básicas.;Materias de tu carrera (básicas);Materias de tu carrera (profesional: por arriba del 5to semestre).;Electivas","Todas las anteriores"
"2021/08/19 10:57:27 a. m. GMT-5","Poca frecuencia.","Un poco","No","No","No","","Muy mala","2","1","5","4","1","1","No","No sé","Todas las anteriores.","Material audiovisual relacionado con el área especializada de la materia.","Materias de ciencias básicas.;Materias de tu carrera (básicas)","Todas las anteriores"
"2021/08/19 10:58:02 a. m. GMT-5","Poca frecuencia.","No","No","No","No","","Mala","2","3","3","2","3","3","No","No sé","Para descargar el material de la clase.;Para descargar talleres, grupos de problemas, tareas.","Material audiovisual relacionado con el área especializada de la materia.","Materias de ciencias básicas.","Opción múltiple"
"2021/08/19 10:58:40 a. m. GMT-5","Mucha frecuencia.","Si","Un poco","Sí","No","","Buena","5","4","4","4","3","4","Si","Bueno","Todas las anteriores.","Material audiovisual relacionado con el área especializada de la materia.","Materias de tu carrera (básicas);Materias de tu carrera (profesional: por arriba del 5to semestre).","Opción múltiple"
"2021/08/19 10:59:03 a. m. GMT-5","Mucha frecuencia.","Si","Sí","Sí","No","","Muy buena","3","4","4","4","4","3","Si","Bueno","Todas las anteriores.","Material audiovisual relacionado con el área especializada de la materia.;Material que te hable de los aportes de la materia en tu formación profesional.;Reseñas históricas relacionadas con los aportes dados en el área.","Materias de ciencias básicas.;Materias de tu carrera (profesional: por arriba del 5to semestre).","Opción múltiple"
"2021/08/19 11:03:42 a. m. GMT-5","Poca frecuencia.","Un poco","Sí","Sí","No","","Buena","3","3","2","2","2","1","Si","Bueno","Todas las anteriores.","Material audiovisual relacionado con el área especializada de la materia.","Materias de ciencias básicas.;Materias de tu carrera (básicas)","Todas las anteriores"
"2021/08/19 11:12:35 a. m. GMT-5","Poca frecuencia.","Un poco","No","No","No","","Buena","2","3","2","3","2","1","No","Malo","Para presentar las pruebas del curso en cuestión.","Material audiovisual relacionado con el área especializada de la materia.","Materias de tu carrera (básicas)","Opción múltiple"
"2021/08/19 11:20:19 a. m. GMT-5","Mucha frecuencia.","Un poco","No","No","Si","Teams","Buena","2","2","2","4","1","2","Si","No sé","Todas las anteriores.;Otras actividades complementarias que el docente monta en el aula que resultan de interés.","Material audiovisual relacionado con el área especializada de la materia.","Materias de tu carrera (básicas)","Todas las anteriores"
"2021/08/19 11:21:49 a. m. GMT-5","Poca frecuencia.","Un poco","Sí","Sí","No","","Buena","2","2","2","2","2","2","Si","Bueno","Todas las anteriores.","Material que te hable de los aportes de la materia en tu formación profesional.","Materias de ciencias básicas.","Opción múltiple"
"2021/08/19 11:22:28 a. m. GMT-5","Poca frecuencia.","Un poco","Un poco","Sí","No","","Buena","3","3","4","3","2","3","No","No sé","Para descargar el material de la clase.;Para descargar talleres, grupos de problemas, tareas.","Material que te hable de los aportes de la materia en tu formación profesional.;Reseñas históricas relacionadas con los aportes dados en el área.","Materias de tu carrera (básicas)","Opción múltiple"
"2021/08/19 11:38:44 a. m. GMT-5","Poca frecuencia.","No","No","Sí","No","","Buena","3","1","3","3","2","1","No","No sé","Para descargar el material de la clase.;Para descargar talleres, grupos de problemas, tareas.","Material audiovisual relacionado con el área especializada de la materia.","Materias de ciencias básicas.","Opción múltiple"
"2021/08/19 11:54:51 a. m. GMT-5","Poca frecuencia.","No","Sí","Sí","No","","Buena","3","3","3","3","1","1","No","Bueno","Todas las anteriores.","Material audiovisual relacionado con el área especializada de la materia.","Electivas","Opción múltiple"
"2021/08/19 12:34:59 p. m. GMT-5","Poca frecuencia.","No","No","No","No","","Mala","2","2","2","2","2","2","No","Malo","Todas las anteriores.","Material audiovisual relacionado con el área especializada de la materia.","Materias de ciencias básicas.","Todas las anteriores"
"2021/08/19 12:36:07 p. m. GMT-5","Mucha frecuencia.","Si","Sí","Sí","No","","Muy buena","5","5","5","5","5","5","Si","Muy bueno","Todas las anteriores.;Otras actividades complementarias que el docente monta en el aula que resultan de interés.","Material audiovisual relacionado con el área especializada de la materia.;Material que te hable de los aportes de la materia en tu formación profesional.;Reseñas históricas relacionadas con los aportes dados en el área.","Materias de ciencias básicas.;Materias de tu carrera (básicas);Materias de tu carrera (profesional: por arriba del 5to semestre).;Electivas","Todas las anteriores"
"2021/08/19 12:37:02 p. m. GMT-5","Poca frecuencia.","Si","Sí","No","No","","Buena","3","4","3","5","2","4","Si","Bueno","Todas las anteriores.;Otras actividades complementarias que el docente monta en el aula que resultan de interés.","Material audiovisual relacionado con el área especializada de la materia.","Materias de ciencias básicas.;Materias de tu carrera (básicas);Electivas","Opción múltiple"
"2021/08/19 12:38:41 p. m. GMT-5","Mucha frecuencia.","Un poco","Un poco","No","Si","","Buena","3","4","4","4","1","1","Si","No sé","Todas las anteriores.","Material audiovisual relacionado con el área especializada de la materia.","Materias de tu carrera (profesional: por arriba del 5to semestre).","Opción múltiple"
"2021/08/19 12:40:06 p. m. GMT-5","Poca frecuencia.","Un poco","Sí","Sí","Si","NetaCad","Muy buena","3","4","4","4","2","1","Si","Muy bueno","Todas las anteriores.;Otras actividades complementarias que el docente monta en el aula que resultan de interés.","Material audiovisual relacionado con el área especializada de la materia.","Materias de tu carrera (básicas);Materias de tu carrera (profesional: por arriba del 5to semestre).","Todas las anteriores"
"2021/08/19 12:44:25 p. m. GMT-5","Poca frecuencia.","No","Un poco","Sí","No","","Mala","3","3","4","3","2","2","Si","Bueno","Todas las anteriores.;Otras actividades complementarias que el docente monta en el aula que resultan de interés.","Material audiovisual relacionado con el área especializada de la materia.","Materias de tu carrera (básicas)","Opción múltiple"
"2021/08/19 12:45:24 p. m. GMT-5","Poca frecuencia.","Un poco","No","Sí","No","","Muy buena","5","5","5","4","5","4","No","Bueno","Para presentar las pruebas del curso en cuestión.;Para descargar el material de la clase.","Material audiovisual relacionado con el área especializada de la materia.","Materias de tu carrera (básicas)","Opción múltiple"
"2021/08/19 12:46:00 p. m. GMT-5","Poca frecuencia.","No","Un poco","No","Si","Sena","Buena","3","2","3","2","3","4","No","Bueno","Todas las anteriores.","Material audiovisual relacionado con el área especializada de la materia.","Materias de ciencias básicas.;Materias de tu carrera (básicas)","Todas las anteriores"
"2021/08/19 2:01:32 p. m. GMT-5","Poca frecuencia.","Un poco","Un poco","Sí","No","","Buena","5","4","5","4","3","2","Si","Bueno","Para presentar las pruebas del curso en cuestión.;Para descargar el material de la clase.","Material que te hable de los aportes de la materia en tu formación profesional.","Materias de tu carrera (básicas);Materias de tu carrera (profesional: por arriba del 5to semestre).","Todas las anteriores"
"2021/08/19 2:02:18 p. m. GMT-5","Poca frecuencia.","No","Sí","No","No","","Buena","2","5","4","3","2","3","Si","No sé","Para descargar el material de la clase.;Otras actividades complementarias que el docente monta en el aula que resultan de interés.","Material audiovisual relacionado con el área especializada de la materia.;Reseñas históricas relacionadas con los aportes dados en el área.","Materias de ciencias básicas.;Materias de tu carrera (básicas)","Todas las anteriores"
"2021/08/19 2:02:56 p. m. GMT-5","Mucha frecuencia.","Si","No","Sí","No","","Muy buena","4","3","4","2","3","5","No","No sé","Todas las anteriores.","Material que te hable de los aportes de la materia en tu formación profesional.","Materias de ciencias básicas.;Materias de tu carrera (básicas);Materias de tu carrera (profesional: por arriba del 5to semestre).","Todas las anteriores"
"2021/08/19 2:03:38 p. m. GMT-5","Poca frecuencia.","No","No","Sí","No","","Buena","3","3","4","4","1","2","No","Bueno","Para presentar las pruebas del curso en cuestión.;Para descargar el material de la clase.","Material audiovisual relacionado con el área especializada de la materia.;Material que te hable de los aportes de la materia en tu formación profesional.","Materias de ciencias básicas.;Materias de tu carrera (básicas)","Todas las anteriores"
"2021/08/19 2:05:02 p. m. GMT-5","Poca frecuencia.","Un poco","Un poco","Sí","No","","Buena","3","4","4","3","4","4","Si","Bueno","Para presentar las pruebas del curso en cuestión.;Para descargar talleres, grupos de problemas, tareas.","Material audiovisual relacionado con el área especializada de la materia.;Material que te hable de los aportes de la materia en tu formación profesional.","Materias de tu carrera (profesional: por arriba del 5to semestre).","Opción múltiple"
"2021/08/19 2:54:42 p. m. GMT-5","Poca frecuencia.","No","Sí","No","Si","Por Teams se puede organizar las cosas mejor con el profesor. ","Buena","2","2","5","5","4","2","No","No sé","Para presentar las pruebas del curso en cuestión.;Para descargar el material de la clase.","Material audiovisual relacionado con el área especializada de la materia.;Material que te hable de los aportes de la materia en tu formación profesional.","Materias de ciencias básicas.;Materias de tu carrera (básicas)","Todas las anteriores"
"2021/08/19 2:57:23 p. m. GMT-5","Poca frecuencia.","No","No","No","Si","Schoology, Google Classroom","Buena","2","4","3","2","1","1","Si","No sé","Para presentar las pruebas del curso en cuestión.","Material audiovisual relacionado con el área especializada de la materia.","Electivas","Opción múltiple"
"2021/08/19 3:07:07 p. m. GMT-5","Poca frecuencia.","Un poco","No","Sí","Si","EdPuzzle","Buena","3","4","5","4","2","2","Si","Muy bueno","Para presentar las pruebas del curso en cuestión.","Material audiovisual relacionado con el área especializada de la materia.;Material que te hable de los aportes de la materia en tu formación profesional.","Materias de ciencias básicas.;Materias de tu carrera (profesional: por arriba del 5to semestre).","Todas las anteriores"
"2021/08/19 3:35:52 p. m. GMT-5","Poca frecuencia.","Si","Un poco","Sí","Si","","Buena","4","3","3","4","4","3","Si","Bueno","Para presentar las pruebas del curso en cuestión.;Para descargar el material de la clase.;Para descargar talleres, grupos de problemas, tareas.;Todas las anteriores.;Otras actividades complementarias que el docente monta en el aula que resultan de interés.","Material audiovisual relacionado con el área especializada de la materia.;Reseñas históricas relacionadas con los aportes dados en el área.","Materias de tu carrera (básicas);Materias de tu carrera (profesional: por arriba del 5to semestre).","Todas las anteriores"
"2021/08/19 3:51:35 p. m. GMT-5","Mucha frecuencia.","Si","Un poco","No","No","","Buena","3","3","3","4","2","1","Si","Bueno","Todas las anteriores.","Material audiovisual relacionado con el área especializada de la materia.","Materias de ciencias básicas.","Opción múltiple"
"2021/08/19 4:55:33 p. m. GMT-5","Poca frecuencia.","Un poco","Un poco","Sí","No","","Buena","4","2","2","3","1","1","No","Bueno","Para descargar el material de la clase.;Para descargar talleres, grupos de problemas, tareas.","Material audiovisual relacionado con el área especializada de la materia.;Material que te hable de los aportes de la materia en tu formación profesional.","Materias de tu carrera (profesional: por arriba del 5to semestre).","Opción múltiple"
"2021/08/19 5:12:36 p. m. GMT-5","Mucha frecuencia.","No","Un poco","Sí","Si","","Buena","2","4","1","3","3","2","No","Bueno","Para presentar las pruebas del curso en cuestión.;Para descargar el material de la clase.","Material audiovisual relacionado con el área especializada de la materia.","Materias de ciencias básicas.","Todas las anteriores"
"2021/08/19 6:21:26 p. m. GMT-5","Poca frecuencia.","No","Sí","Sí","No","","Muy buena","5","5","5","5","5","5","Si","Bueno","Todas las anteriores.","Material audiovisual relacionado con el área especializada de la materia.;Material que te hable de los aportes de la materia en tu formación profesional.;Reseñas históricas relacionadas con los aportes dados en el área.","Materias de tu carrera (básicas)","Todas las anteriores"
"2021/08/19 8:13:31 p. m. GMT-5","Poca frecuencia.","Un poco","Sí","Sí","No","","Buena","4","4","4","4","5","3","Si","No sé","Para descargar el material de la clase.;Para descargar talleres, grupos de problemas, tareas.","Material que te hable de los aportes de la materia en tu formación profesional.","Materias de ciencias básicas.;Materias de tu carrera (básicas)","Todas las anteriores"
"2021/08/20 9:41:14 a. m. GMT-5","Mucha frecuencia.","Si","Sí","Sí","No","","Buena","4","2","2","4","4","5","Si","Muy bueno","Todas las anteriores.","Material que te hable de los aportes de la materia en tu formación profesional.","Materias de tu carrera (básicas);Materias de tu carrera (profesional: por arriba del 5to semestre).","Todas las anteriores"
"2021/08/20 10:13:45 a. m. GMT-5","Poca frecuencia.","Un poco","No","No","No","","Buena","4","3","2","1","1","1","Si","Malo","Todas las anteriores.","Material que te hable de los aportes de la materia en tu formación profesional.","Materias de tu carrera (básicas)","Justificar"
"2021/08/20 1:48:00 p. m. GMT-5","Poca frecuencia.","Un poco","Un poco","Sí","No","","Buena","4","1","3","3","1","1","Si","Bueno","Todas las anteriores.","Material audiovisual relacionado con el área especializada de la materia.;Material que te hable de los aportes de la materia en tu formación profesional.","Materias de tu carrera (profesional: por arriba del 5to semestre).","Opción múltiple"
"2021/08/31 12:41:32 a. m. GMT-5","Poca frecuencia.","Un poco","Sí","Sí","No","","Buena","4","3","4","1","2","2","Si","Bueno","Todas las anteriores.","Material audiovisual relacionado con el área especializada de la materia.;Reseñas históricas relacionadas con los aportes dados en el área.","Materias de ciencias básicas.;Materias de tu carrera (básicas)","Opción múltiple"
